FreeWiFi-NARITA	JP
NRT-AIRPORT	JP
narita-airport-free-wifi	JP
NRTAIRPORT	JP
HANEDA-FREE-WIFI	JP
Fukuoka_City_Wi-Fi	JP
fukuoka_ap	JP
NAHA_City_Wi-Fi	JP
naha-ap	JP
FreeWiFi@KIXRV	JP
FreeWiFi@KIX	JP
CMCC-DLAIRPORT	CN
dlairport_vip1	CN
dlairporthx	CN
_Heathrow Wi-Fi	GB
LHR_Operational	GB
C04D05G03	FR
FRAWiSe	DE
fra_wave_1	DE
Fraport IPS	DE
FRA IPS	DE
Fiumicino Free 30 min	IT
AOBCNSRV	ES
AOBCNWTIP	ES
ViaMilano.WiFi	IT
AMS Haarlem	NL
Schiphol-Group	NL
Schiphol_Group_Office	NL
ZurichAirport	CH
prg.aero-free	CZ
prg.aero-tech	CZ
prg.aero-vip	CZ
prg.aero-hotspotv	CZ
VIE_INTERN_001	AT
VIE_INTERN_003	AT
WirelessViennaAirport	AT
SVO_BRS	RU
SVO_OPERATION	RU
sydneyairport.com	AU
BNE FREE WIFI	AU
MELBOURNE AIRPORT	AU
#HKAirport Free WiFi	HK
Airport HKG	HK
wi-fi.hk via hkairport	HK
#WiFi@Changi	SG
NoiBai Airport FreeWiFi	VN
NgurahRaiFreeWifi	ID
HNLWiFi	US
LAX-WiFi	US
JFK4XSCUTECOWS	US
#SFO FREE WIFI	US
SFO-WiFi	US
!SFO FREE WIFI	US
McCarran WiFi	US
_Free_ORD_Wi-Fi	US
SEATAC-FREE-WIFI	US
USFWS DFW	US
ATL Free Wi-Fi	US
ATL-WIFI	US
loganwifi	US
Washington Dulles WiFi	US
Detriot Airport Wi-Fi	US
@yvrairport	CA
Toronto Personal Wi-Fi	CA
YYC.Free.Public.WiFi	CA
YYC-Free-WiFi	CA
GRU Free WiFi	BR
_GRU Free WIFI	BR
DXB Free WiFi	AE
BCIA_WLAN_XL	CN
